feature,p_value,rank_biserial,cohens_d,mean_UPDRS0,mean_UPDRS1,direction
s2_ipi_mean,1.6600795803572203e-09,0.44319410006993454,0.7852816003191672,0.4285275327527946,0.5207845864305589,UPDRS1>
s1_ipi_mean,6.164907178983435e-08,0.3980545489223727,0.47882388005009713,0.46266201894268416,0.5481371485760862,UPDRS1>
s1_ipi_std,5.564711306571447e-07,0.3680462839341344,0.33908338696720947,0.0986797694656286,0.14854629045285483,UPDRS1>
s2_tap_rate,2.7893852428584014e-06,0.3445228558713205,0.626960681642257,1.980641280243348,1.6784716607464816,UPDRS0>
s2_ipi_std,4.9617276055253065e-06,0.3357492529722169,0.4099864209489442,0.07097879859761645,0.0957248220164958,UPDRS1>
duration_s1,9.135989453750805e-06,0.32621272808188695,0.5710689640863014,10.392435374149661,12.566906542056076,UPDRS1>
duration_s2,9.135989453750805e-06,0.32621272808188695,0.5711036553003568,10.392326530612245,12.566906542056076,UPDRS1>
s1_tap_rate,7.965388403111214e-05,0.2901010871638374,0.4297194445493018,1.8010092752498494,1.602699152556699,UPDRS0>
s1_ipi_cv,8.198590982132662e-05,0.2895924725030199,0.44109724162447705,0.18825012382334833,0.25245285901232534,UPDRS1>
s1_dom_freq_hz,0.00017563045003390486,0.2758598766609448,0.36280374890316847,0.9648457019399528,0.6117605787186363,UPDRS0>
s1_speed3d_mean,0.0009080792283434602,0.2439443066946405,0.02913094414630211,32.08558363557511,34.730258264220765,UPDRS1>
s1_amp_slope,0.0014163876157257504,0.2346620891347193,0.013336573435974587,0.10996938775510229,0.12771495327102828,UPDRS1>
s2_pk_amp_late,0.0015306731766068398,0.23300909148706217,0.3712094617827827,-10.85206841029535,-9.673854764615553,UPDRS1>
s2_dom_freq_hz,0.0022403104469254356,0.22474410324877625,0.26171649181589624,1.6960713961813465,1.4243702219435315,UPDRS0>
s1_amp_decrement,0.0026754894846753694,0.22080233962743978,0.099926068035115,-0.4499552546352562,-1.5065513561851576,UPDRS0>
s1_pk_amp_late,0.003029779557668576,0.21800495899294292,0.3147147979514418,-9.439356293467604,-8.528775591986143,UPDRS1>
s1_z_vel_mean,0.003133567634617635,0.21724203700171651,0.03159572281371095,15.67986551289477,17.135089754775837,UPDRS1>
s2_pk_amp_decrement,0.00316887742002148,0.21698772967130775,0.23247693375071424,0.0066207574296846304,0.034681000884659266,UPDRS1>
s1_x_vel_mean,0.0038273335925264247,0.2126645050543583,0.04097473366420087,16.607825880845287,18.890495071446626,UPDRS1>
s1_speed3d_std,0.005299016213299234,0.20503528514209424,0.09432739292870283,513.1444026632953,738.7758573517826,UPDRS1>
s1_z_vel_std,0.006244652082270836,0.20109352152075788,0.08235448815503911,261.99836268731974,366.8687799235986,UPDRS1>
s1_x_vel_std,0.006932766557809176,0.19855044821666978,0.11178942292425707,258.56084533150687,421.7186286813881,UPDRS1>
s2_pk_amp_early,0.008869822673414272,0.19244707228685864,0.32137845832815576,-10.83298090833692,-9.91207966636764,UPDRS1>
